institute_name,govt_pvt,overall_score,living_experience_score,placement_performance_score,selection_process_governance_establishment_score,future_orientation_score,rank
"Jaipuria Institute of Management, Noida",P,639.4,168.1,150.1,94.1,125.7,74
"International School of Business & Media (ISBM), Pune",P,638.8,178.7,158.9,92.7,98.9,75
Symbiosis Centre for Information Technology (SCIT),P,638.7,162.7,162.8,95.6,114.3,76
Chitkara Business School,P,638.2,173.5,148.8,81.3,131,77
N. L. Dalmia Institute of Management Studies and Research,P,638.1,179.6,142.6,96,121.2,78
"Xavier Institute of Social Service (XISS), Ranchi",P,637,156.3,153.3,107.3,128.3,79
Symbiosis School of Banking and Finance,P,636.4,158,159.3,93.2,113.9,80
University School of Management Studies,G,630.5,165.5,134.2,96.4,115.4,81
Universal Business School,P,628.6,172.1,145.4,76.2,112.4,82
Fortune Institute of International Business (FIIB),P,626.1,169.1,139.3,100.5,115.5,83
International School of Management Excellence,P,625.4,170.9,132.9,93.8,114.8,84
"Jaipuria Institute of Management, Jaipur",P,624.6,162.6,141.8,97.5,121.2,85
Institute of Agribusiness Management,G,624.3,150,148.4,89.2,112.7,86
"IIEBM, Indus Business School",P,624.3,163.2,154.9,89.7,110,86
Shoolini University of Biotechnology & Management Sciences,P,623.9,161.9,138.6,89.1,119.1,88
Balaji Institute of Management and Human Resource Development (BIMHRD),P,623.5,154.1,152.7,89.8,117,89
Jagannath International Management School,P,622.6,170.8,146.3,99,118,90
Institute of Rural Management,P,621.4,178.3,138.4,97.8,111.5,91
Kristu Jayanti College,P,620.1,151.9,148.7,86.1,110,92
"School of Management, D. Y. Patil (Deemed to be University)",P,620,154.1,140,88.7,114.5,93
AIMS School of Business,P,619.8,169.9,139.4,87.2,118.3,94
I.T.S School of Management ,P,619.3,162.2,143.8,87.7,115.2,95
"School of Business Studies, Sharda University",P,616.6,182.5,99.7,88.9,126.5,96
Punjab College of Technical Education,P,615.4,161,146.8,84.7,115.4,97
Department of Business Administration Tezpur University,G,607.9,126.1,149.5,103.6,106.3,98
"Jaipuria Institute of Management, Indore",P,607.8,162.7,146.7,86.6,102.1,99
"Amity Business School, Gurugram",P,607.7,170.2,121.2,88.8,105.8,100
"Faculty of Management Studies, Manav Rachna International Institute of Research and Studies",P,607.6,177.5,112.5,98,101.4,101
"College of Management, SRM Institute of Science and Technology",P,604.6,165.3,129.6,83.7,103.7,102
CMS Business School JAIN (Deemed-to-be University),P,601.9,137.2,149.5,87.8,114.7,103
"School of Management, Hindustan Institute of Technology and Science",P,601,163.4,124.7,93.6,100.5,104
Global Institute of Business Studies (GIBS Business School),P,600.1,149.4,149,80.3,118.4,105
"Prestige Institute of Management and Research, Gwalior",P,596.6,152.3,142.4,91.3,99.6,106
"Amity Business School, Amity University Madhya Pradesh",P,595.8,158.6,137.7,65.5,111.1,107
R.V. Institute of Management,P,594.3,164.3,138.4,89.9,112.7,108
Narayana Business School,P,591.6,170.4,152.1,91.6,77,109
Rungta College of Engineering & Technology,P,591.2,158,123.7,90.5,111.3,110
SRMS International Business School,P,590.8,157.2,127.3,90.7,101.7,111
Calcutta Business School,P,589.6,143.8,139.7,77.6,115.2,112
Bharath Institute of Higher Education and Research,P,588.8,151.5,148.8,90.2,94.5,113
"Amity Business School, Amity University Chhattisgarh",P,588.6,153.6,132.4,74.3,110.6,114
Bharati Vidyapeeth (Deemed to be University) Institute of Management & Research New Delhi,P,588.2,141.5,145.9,94.4,97.4,115
Symbiosis Institute of Computer Studies and Research,P,588.1,139.1,146,91.1,100.6,116
Neville Wadia Institute of Management Studies and Research,P,587.2,145.1,119.5,91.1,115.2,117
"Jaipuria Institute of Management, Ghaziabad",P,587,151.1,145.1,93.5,95.5,118
"School of Business, Woxsen University",P,586.1,144.7,122.8,83.5,111,119
Institute of Insurance and Risk Management,G,585.8,148.3,149.2,90.9,88.8,120
"School of Management, ITM University Gwalior",P,583.9,163.5,124.1,84.5,103.3,121
MET Institute of Management,P,583.4,151.7,148,91,111.4,122
Mepco School of Management Studies,P,583.4,160.9,125.1,91.3,94.9,122
Aurora's Business School,P,583.1,167.5,135.5,70.6,111.8,124
"Institute of Management Studies, Noida",P,582.9,155.3,133.5,94.1,99,125
Ajay Kumar Garg Institute of Management,P,582.7,165.2,136.1,76.7,97.8,126
"Amity Business School, Amity University Rajasthan",P,582.6,159.5,103.1,89.4,113.7,127
Balaji Institute of Telecom & Management,P,581.9,146.9,147.8,85.7,89.2,128
"School of Management, IMS Unison University",P,581.5,139.6,152,83.6,110.3,129
"Department of Management Studies, Kongu Engineering College",P,580.9,164.1,101.3,98.6,107.6,130
"School of Commerce and Management Studies, Dayananda Sagar University",P,580.6,158.8,139.6,77.2,88.8,131
"Faculty of Management Studies & Research, Aligarh Muslim University",G,578.7,157.9,122,89.3,100.8,132
"K L Business School, K L E Foundation (Deemed to be University)",P,577.8,145.1,143.8,83,111.6,133
ICBM School of Business Excellence,P,577.8,157.4,135.5,88.8,107.4,133
"ICFAI Business School, Dehradun",P,574.9,140.9,136.2,87.3,112.5,135
"Amity Business School, Amity University Maharashtra",P,574.8,155.3,120.6,74.8,115.8,136
"School of Business Studies, Shobhit University, Meerut",P,574.5,154.7,119.4,85.5,103.3,137
"School of Management & Commerce, Poornima University",P,570.5,152.3,137.9,80.6,93.7,138
Bharati Vidyapeeth's Institute of Management Studies and Research,P,570.3,151.4,119.6,94.9,93.9,139
MIT College of Management,P,569.5,154.3,118,73.5,106.1,140
SCMS School of Technology and Management,P,569.2,141,126.3,91.4,113.7,141
"Quantum School of Business, Quantum University",P,568.9,148.4,130.9,89.8,90.2,142
International School of Business and Media,P,568.4,159.4,145,91,52.7,143
"School of Management, MIT World Peace University",P,567.2,118.7,139.2,85.9,104.3,144
Doon Business School,P,566.9,141.6,131.7,81.8,104.6,145
Vignana Jyothi Institute of Management,P,566.3,156.7,128.7,90.1,93.4,146
"School of Management Studies, Reva University",P,566.1,140.7,134.7,77.6,106.2,147
"School of Business, Galgotias University",P,565.2,135.4,135.8,76.5,116.2,148
Institute of Management & Information Science,P,564.6,157.6,135.6,87.3,80.5,149
Vivekananda Institute of Management Studies,P,564.3,170.5,120.8,63.9,96.3,150
Institute of Health Management Research,P,564.2,163.7,140.2,79.8,77,151
Sri Sairam Institute of Management Studies,P,564,148.9,125.8,91.3,95.1,152
Dr. SNS Rajalakshmi College of Arts and Science,P,562.5,166.1,95.9,78.8,112.8,153
"Faculty of Commerce and Management, Maharaja Agrasen Himalayan Garhwal University",P,562.4,163.9,118,72.4,103.6,154
Siva Sivani Institute of Management,P,562.2,129.8,121.7,97.7,110,155
Saintgits Institute of Management,P,562,155.1,98.3,90,107.2,156
"IPS Academy, Institute of Business Management and Research",P,560.7,148.8,120.1,91.1,102.8,157
Chandragupt Institute of Management Patna,G,558.5,146.9,137.5,72.3,86.3,158
Vivekanand Education Society Business School,P,558.2,152.6,127,76.6,109.8,159
SASMIRA's Institute of Management Studies and Research,P,557,153,125.1,94.4,105.7,160
ICFAI University Tripura ,P,556.4,148.2,116.3,69.4,107.4,161
Chandigarh Business School of Administration,P,555.6,153.8,128.8,85.4,102.2,162
IIKM The Corporate B-School,P,553.5,154.8,127.2,77.9,102.3,163
Indira School of Business Studies PGDM,P,553.3,135.9,130.1,94.7,97.1,164
"ICFAI University, Jharkhand",P,551.9,159.3,138.2,73.8,76.4,165
"School of Management, Sree Saraswathi Thyagaraja College",P,551.8,139.2,134.5,80.2,97.7,166
"Sanjivani College of Engineering, Kopargaon",P,551.6,135.2,133.8,76.6,90.5,167
Centurion University of Technology and Management,P,551.5,151.8,124.9,76.4,97.1,168
"School of Management, Sir Padampat Singhania University",P,551.3,135.9,133.5,78.2,85,169
MM Institute of Management,P,551,141.7,119.3,92.4,83.2,170
DJ Academy for Managerial Excellence,P,550.7,155.2,99.3,84,96.7,171
Hindusthan College of Engineering and Technology,P,547.4,163.3,87,81.4,101.6,172
"The Business School, University of Jammu",G,546.4,134.8,134,97.7,71.6,173
Adithya School of Business Management,P,546.1,157.4,111.6,74.1,100.8,174
Kalaignarkarunanidhi Institute of Technology ,P,545.9,148.4,115.6,82,91.7,175
Alkesh Dinesh Mody Institute for Financial and Management Studies,G,542.7,126.7,133.4,90.7,91.6,176
Durgadevi Saraf Institute of Management Studies,P,542.1,138.6,123,86.5,103.1,177
Vivekanand Education Society Institute of Management Studies and Research,P,542,154.3,125.8,79,92,178
IBMR Business School,P,541.4,149.2,133,73.2,101.6,179
GL Bajaj Institute of Technology and Management,P,541.3,142.3,122.5,84.5,81.2,180
Krupanidhi Group of Institutions,P,538.8,138.5,140.3,74.2,101.7,181
Institute of Engineering & Management,P,538.2,141.8,100,98.4,111.2,182
Tecnia Institute of Advanced Studies,P,536.6,155.7,103.5,90.5,92.6,183
Lala Lajpatrai Institute of Management,P,536.3,136.2,135.8,85.4,93.2,184
K.S. Rangasamy College of Technology - MBA,P,534.6,149.4,130.4,76.4,67.5,185
Heritage Business School,P,534.4,155.2,123.3,76.2,77.8,186
"Trident School of Business, Trident Academy of Technology",P,534,156.6,124,80.6,83.9,187
Lead College of Management,P,533.9,141.6,131.5,82.4,84,188
"Faculty of Management Studies, M. S. University of Baroda",G,533.5,113.8,137,88.7,92.3,189
"Department of Management Studies, Easwari Engineering College",P,533.2,139.9,110.3,90.4,87.3,190
"Department of MBA, SNS College of Technology",P,533,137.2,118.7,88.6,82.4,191
"Department of Management Studies, Velalar College of Engineering and Technology",P,531.9,153.7,91.2,80.5,92.8,192
"Faculty of Management Science, Shri Ram Murti Smarak College of Engineering and Technology",P,531.7,167.2,113.8,80.7,61.3,193
"School of Management, Presidency University",P,530.3,123,124.7,91.7,95.4,194
Sri Ramakrishna Arts and Science College,P,529.9,161.1,93.8,79.8,88.9,195
"Department of Management Studies, CMR Institute of Technology",P,529.8,153.1,90,75.2,102.2,196
"Amity Business School, Lucknow ",P,528.9,138.7,97.3,82.2,103.6,197
Bharatiya Vidya Bhavan Institute of Management Science,P,528.5,145.6,119.4,91.4,87.1,198
"Department of Management Studies and Research Center, BMS College of Engineering",P,527,127.9,125.3,98,74.3,199
"Medi-Caps University, Indore",P,526,137.5,116.4,80,88,200
"Chandigarh School of Business, Jhanjeri",P,525.3,115,123,84.4,107.3,201
Teerthanker Mahaveer Institute of Management & Technology,P,525.2,137.7,115.7,76,97.8,202
"V. M. Patel Institute of Management, Ganpat University",P,523,145.9,99.5,82.9,89.6,203
"Department of MBA, CMR College of Engineering and Technology",P,522.7,152.7,106.4,94.4,74.7,204
"Faculty of Management, JECRC University",P,522,139.5,122.7,61.5,92.8,205
JSS Academy of Higher Education & Research,P,521.8,146.2,87.5,91.1,82.6,206
Hindusthan College of Arts and Science,P,521.2,137.5,120.2,75.6,100.8,207
"School of Business & Management, NSHM Knowledge Campus",P,519,126.1,97,87.4,108.4,208
Tilak Raj Chadha Institute of Management & Technology,P,517.7,141.8,123.7,85.4,66.2,209
Hindusthan Institute of Technology,P,517.1,136.3,123.4,78.4,60,210
St. Joseph's Degree & PG College,P,517.1,125.4,121.1,93.1,105.1,210
GNVS Institute of Management,P,517,133.1,124.8,78.9,97.3,212
"Department of Management, Rathinam College of Arts & Science ",P,516.8,160.5,98.5,69.5,84.6,213
Karnataka Law Society’s Institute of Management Education & Research,P,516.7,149.7,116.2,92.4,62.9,214
Rajshree Institute of Management Technology,P,515.6,144.4,97.2,74.5,88.9,215
Dayananda Sagar College of Engineering,P,515.1,158.4,125.8,67,69,216
Francis Xavier Department of Management Studies (FXDoMS),P,514.9,146.1,100.4,81.7,77.2,217
"School of Management, Model Institute of Engineering and Technology",P,514.9,152.8,122.1,83.9,69.8,217
The Oxford College of Business Management,P,514.1,148.7,95.4,88.4,81.1,219
Om Kothari Institute of Management & Research,P,513.2,145.9,93.8,85,85.7,220
Hallmark Business School,P,512.9,134.9,115.3,70.8,77.6,221
VLB Janakiammal College of Arts and Science,P,512.8,143.7,113,74.8,65,222
Central Institute of Business Management Research & Development ,P,512.1,156,74.9,90.9,105,223
"School of Management, CMR University",P,511.8,138,105.8,72.1,109.4,224
"Jagran Lakecity Business School, Jagran Lakecity University",P,509.5,137.9,92.3,73.1,96.1,225
"Centre for Management Studies, Presidency College",P,506.9,126.8,139.9,80.4,76.5,226
Institute of Information Technology and Management,P,504.6,128.1,130.1,83.3,99,227
Prestige Institute of Management Dewas,P,503,145.2,115.7,88.1,88.9,228
Coimbatore Institute of Management and Technology,P,502.8,154,99.3,78.1,59.5,229
MIET Business School,P,500.9,133.3,97.8,85.6,89.1,230
"Department of Management Studies, Jawaharlal Nehru New College of Engineering-MBA",P,500.9,143.4,108.8,94.2,77.6,230
Sardar Vallabhbhai Patel International School of Textiles and Management,G,500.3,159.8,85.3,81.6,87.2,232
"Faculty of Commerce and Management, Assam Down Town University",P,498.2,131.7,70.6,79.4,105.3,233
IA School of Management Studies,P,495.1,120,96.2,83.5,91.8,234
"Institute of Business Management, GLA University",P,491.7,114.7,101.5,85.6,100,235
"Department of Mangement, Sagar Institute of Research & Technology",P,491.3,117.8,117.8,78,81,236
Netaji Subhas Institute of Business Management,P,490.3,138.3,132.7,81.3,24.7,237
Poddar Management and Technical Campus,P,486.3,137,113.8,76.2,105.7,238
B.L.D.E. Association’s A.S. Patil College of Commerce,P,486.1,149.5,57.9,75,86.9,239
"School of Management Studies, JIS University",P,483.9,141.4,77.4,65.8,90.7,240
Adarsh Institute of Management and Information Technology,P,483.6,133.9,140.2,70.4,86.8,241
"Post Graduate Department of Management Studies, P E S College of Engineering",P,483.2,144.3,87.7,76.8,80.6,242
Atharva Institute of Management Studies,P,481.6,140.5,128.4,82.3,73.8,243
S. V. Institute of Management,P,478.7,98.8,94.9,93.6,87.1,244
Bharati Vidyapeeth (Deemed to be University) Institute of Management and Rural Development Administration,P,477.8,159.2,78.6,88.9,85.4,245
"Department of Business Administration and Research, Shri Sant Gajanan Maharaj College of Engineering",P,475.1,122.7,81.9,93.5,68.5,246
Pranveer Singh Institute of Technology,P,473.4,119.1,119,80.7,58.5,247
T. John College,P,470.6,130.6,88.6,82.8,65.3,248
"Department of Management Studies, The Oxford College of Engineering",P,469.3,128.4,80.8,90.4,71.6,249
"Department of Business Administration, Kanpur Institute of Technology",P,467.6,115.2,116.8,71.2,63.6,250
Lakshmi Narain College of Technology,P,464.4,140.2,105.7,89,38.4,251
"Postgraduate Department of Business Management, Sardar Patel University",G,460.8,140,99,76.2,46.9,252
Dr. V. N. Bedekar Institute of Management Studies,P,459.9,141.1,111.5,84.7,68,253
ITM Vocational University,P,458.9,110,103.2,83,58.9,254
JSS Centre for Management,P,458.2,99,115.2,68.5,101.2,255
"Faculty of Commerce Business Management, Amrapali Institute of Technology Sciences",P,457,108.4,87.7,92.5,63.7,256
Global Business School,P,442.4,123.4,91.6,76.3,89.9,257
"School of Commerce Management & Research, ITM University, Raipur",P,440.3,110.6,119.8,83.8,34.5,258
Sinhgad Business School,P,440,121.3,124,81.3,64.2,259
"Department of Business Management, Indus International University",P,438.7,119,66.9,66.6,70.2,260
D.A.V. Institute of Management,P,433,134,89.5,77.6,70.8,261
Sahrdaya Institute of Management Studies,P,431,122.4,74.5,68.6,59.7,262
Acropolis Faculty of Management and Research,P,428.2,79.1,113.4,92.7,72.3,263
Sheila Raheja School of Business Management and Research,P,426.6,126,103.5,72,67.9,264
Amjad Ali Khan College of Business Administration,P,425,112.4,82.8,73.8,101.9,265
Astha School of Management,P,420.3,137.1,92.2,74.6,25.4,266
"Bharati Vidyapeeth (Deemed to be University), Institute of Management, Kolhapur",P,420.2,116.4,88.5,76.5,71,267
IMS-Business School,P,391.5,90.9,94,70,74.3,268
Chetan Business School,P,382.3,120.1,94.4,69.6,50.4,269
"Department of Economics, Commerce and Management (DECM), Martin Luther Christian University",P,378,101.1,52.8,74.1,80.9,270
"Techno India, Salt Lake",P,377.1,67,79.1,73.8,96.4,271
Govindram Seksaria College of Commerce,P,369.6,78,60.1,79.9,58.5,272
