institute,rank,score,state,zone,sector,year,,,,,,,,,,,,,,,,,,,,,,
"IILM Institute for Business and Management, Gurugram",49,675.4,Haryana,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Institute of Digital and Telecom Management, Pune",50,674.4,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"SDM Institute for Management Development, Mysuru",51,668.9,Karnataka,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Balaji Institute of Modern Management (BIMM), Pune",52,665.9,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Amity University, Noida",53,664.9,Uttar Pradesh,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Institute of Management Studies, Banaras Hindu University, Varanasi",54,664.6,Uttar Pradesh,North,G,2021,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Institute of Business Management, Hyderabad",55,663.7,Telangana,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"S.P. Mandali’s Prin. L.N. Welingkar Institute of Management Development & Research, Bengaluru",56,663.5,Karnataka,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Department of Management, BITS Pilani",57,656.7,Rajasthan,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"SIES College of Management Studies, Navi Mumbai",58,655.5,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"International Management Institute, Bhubaneswar",59,654.9,Odisha,East,P,2021,,,,,,,,,,,,,,,,,,,,,,
"ITM Business School, Navi Mumbai",60,654,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"VIT Business School, Vellore",60,654,Tamil Nadu,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"SOIL Institute of Management, Gurugram",62,653.5,Haryana,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"International Management Institute, Kolkata",63,653.4,West Bengal,East,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Jagan Institute of Management Studies, New Delhi",64,653.3,Delhi,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"School of Business and Management, Christ (Deemed to be University), Bengaluru ",65,651.5,Karnataka,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"School of Management Studies, National Institute of Technology Calicut, Kozhikode",66,649.7,Kerala,South,G,2021,,,,,,,,,,,,,,,,,,,,,,
"Jaipuria Institute of Management, Lucknow",67,649.4,Uttar Pradesh,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Indian Institute of Social Welfare and Business Management, Kolkata",68,647.1,West Bengal,East,G,2021,,,,,,,,,,,,,,,,,,,,,,
"Pune Institute of Business Management, Pune",69,646.5,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Vaikunth Mehta National Institute of Cooperative Management, Pune",70,645.8,Maharashtra,West,G,2021,,,,,,,,,,,,,,,,,,,,,,
"Prestige Institute of Management and Research, Indore",71,644.1,Madhya Pradesh,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Institute of Health Management Research, IIHMR University, Jaipur",72,643.2,Rajasthan,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"SCMS Cochin School of Business, Ernakulam",73,642.2,Kerala,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Jaipuria Institute of Management, Noida",74,639.4,Uttar Pradesh,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"International School of Business & Media, Pune",75,638.8,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Centre for Information Technology, Pune",76,638.7,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Chitkara Business School, Rajpura",77,638.2,Punjab,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"N.L. Dalmia Institute of Management Studies and Research, Mumbai",78,638.1,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Xavier Institute of Social Service, Ranchi",79,637,Jharkhand,East,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis School of Banking and Finance, Pune",80,636.4,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"University School of Management Studies, New Delhi",81,630.5,Delhi,North,G,2021,,,,,,,,,,,,,,,,,,,,,,
"Universal Business School, Mumbai",82,628.6,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Fortune Institute of International Business (FIIB), New Delhi",83,626.1,Delhi,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"International School of Management Excellence, Bengaluru",84,625.4,Karnataka,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Jaipuria Institute of Management, Jaipur",85,624.6,Rajasthan,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Institute of Agribusiness Management, Bikaner",86,624.3,Rajasthan,North,G,2021,,,,,,,,,,,,,,,,,,,,,,
"IIEBM, Indus Business School, Pune",86,624.3,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Shoolini University of Biotechnology & Management Sciences, Solan",88,623.9,Himachal Pradesh,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Balaji Institute of Management and Human Resource Development, Pune",89,623.5,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Jagannath International Management School, New Delhi",90,622.6,Delhi,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
Institute of Rural Management Jaipur,91,621.4,Rajasthan,North,P,2021,,,,,,,,,,,,,,,,,,,,,,
"Kristu Jayanti College, Bengaluru ",92,620.1,Karnataka,South,P,2021,,,,,,,,,,,,,,,,,,,,,,
"School of Management, D.Y. Patil (Deemed to be University), Navi Mumbai",93,620,Maharashtra,West,P,2021,,,,,,,,,,,,,,,,,,,,,,
"AIMS School of Business, Bengaluru ",94,619.8,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"I.T.S School of Management , Ghaziabad",95,619.3,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Business Studies, Sharda University, Greater Noida",96,616.6,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Punjab College of Technical Education, Ludhiana",97,615.4,Punjab,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Department of Business Administration Tezpur University, Tezpur",98,607.9,Assam,East,G,2020,,,,,,,,,,,,,,,,,,,,,,
"Jaipuria Institute of Management, Indore",99,607.8,Madhya Pradesh,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Gurugram",100,607.7,Haryana,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Management Studies, Manav Rachna International Institute of Research and Studies, Faridabad",101,607.6,Haryana,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"College of Management, SRM Institute of Science and Technology, Chennai",102,604.6,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"CMS Business School JAIN (Deemed-to-be University), Bengaluru ",103,601.9,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Management, Hindustan Institute of Technology and Science, Chennai",104,601,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Global Institute of Business Studies (GIBS Business School), Bengaluru",105,600.1,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Prestige Institute of Management and Research, Gwalior",106,596.6,Madhya Pradesh,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Amity University Madhya Pradesh, Gwalior",107,595.8,Madhya Pradesh,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"R.V. Institute of Management, Bengaluru ",108,594.3,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Narayana Business School, Ahmedabad",109,591.6,Gujarat,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Rungta College of Engineering & Technology, Bhilai",110,591.2,Chhattisgarh,East,P,2020,,,,,,,,,,,,,,,,,,,,,,
"SRMS International Business School, Lucknow",111,590.8,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Calcutta Business School, Bishnupur",112,589.6,West Bengal,East,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Bharath Institute of Higher Education and Research, Chennai",113,588.8,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Amity University Chhattisgarh, Raipur",114,588.6,Chhattisgarh,East,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Bharati Vidyapeeth (Deemed to be University) Institute of Management & Research, New Delhi",115,588.2,Delhi,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Symbiosis Institute of Computer Studies and Research, Pune",116,588.1,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Neville Wadia Institute of Management Studies and Research, Pune",117,587.2,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Jaipuria Institute of Management, Ghaziabad",118,587,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
